ID,transaction_id,user_id,age,gender,country,device_type,device_os,merchant_category,transaction_amount,transaction_type,time_of_day,day_of_week,transaction_duration,num_prev_transactions,avg_transaction_amount,std_transaction_amount,transactions_last_24h,transactions_last_1h,failed_login_attempts,ip_risk_score,device_trust_score,account_age_days,has_chargeback_history,shared_ip_users,shared_device_users,merchant_risk,country_risk,distance_from_home,is_new_country,is_fraud
104,T0054728,15613,63,M,IN,desktop,Windows,electronics,4.49,purchase,19,0,0.06,32,74.03,60.36,4,0,0,0.047,0.936,1960,1,2,0,0.3,0.1,44.13,0,0
105,T0038456,27781,44,M,ID,desktop,MacOS,electronics,224.41,topup,19,5,0.29,23,101.62,44.9,2,0,0,0.787,0.139,749,0,5,0,0.3,0.12,34.51,0,1
106,T0097369,6332,34,M,US,mobile,Android,restaurants,175.96,purchase,8,6,3.28,27,84.74,32.49,4,0,0,0.225,0.179,939,0,2,2,0.12,0.05,76.71,0,0
107,T0037391,6607,60,F,FR,mobile,iOS,groceries,57.91,purchase,13,4,7.62,25,49.73,71.24,4,0,0,0.785,0.22,2761,0,2,0,0.05,0.04,19.49,0,0
108,T0052312,17294,39,M,CA,mobile,Android,gas,144.13,withdrawal,17,4,19.65,28,100.95,70.29,2,0,0,0.144,0.735,164,0,3,2,0.05,0.03,93.91,0,0
109,T0080648,10574,75,M,CA,mobile,Android,clothing,41.28,purchase,9,2,0.37,39,114.37,22.74,1,0,0,0.782,0.443,2677,0,1,2,0.1,0.03,160.72,0,0
110,T0089505,4848,38,M,ID,mobile,Android,restaurants,40.98,purchase,18,2,0.25,40,35.94,39.05,0,0,0,0.984,0.219,1837,0,3,1,0.12,0.12,195.54,0,0
111,T0004598,1949,49,M,IN,mobile,Android,electronics,86.35,withdrawal,18,0,6.03,23,143.12,36.83,2,0,0,0.466,0.223,1547,0,1,2,0.3,0.1,56.92,0,0
112,T0073475,12603,75,F,IN,mobile,iOS,gas,40.52,purchase,9,6,5.26,37,67.27,73.24,3,0,0,0.119,0.587,183,0,2,2,0.05,0.1,143.29,0,0
113,T0011965,3242,30,F,US,mobile,Android,groceries,137.45,purchase,9,6,3.42,28,49.91,51.84,2,0,0,0.757,0.35,773,0,0,2,0.05,0.05,53.65,0,0
114,T0057479,26650,28,M,ID,mobile,Android,gas,34.25,purchase,8,4,0.78,22,113.32,13.68,1,1,0,0.6,0.608,2319,0,0,1,0.05,0.12,145.43,0,0
115,T0022688,4790,46,M,CA,mobile,Android,restaurants,171.71,purchase,11,3,2.06,33,88.16,23.08,1,0,1,0.298,0.462,2520,0,0,3,0.12,0.03,65.06,0,0
116,T0072620,21782,71,M,US,mobile,Windows,services,22.52,topup,18,4,5.26,31,87.27,25.62,3,0,1,0.201,0.22,626,0,0,2,0.08,0.05,172.21,0,1
117,T0040214,13698,35,F,UK,mobile,Android,travel,15.29,purchase,21,1,0.82,27,86.38,47.76,1,0,0,0.888,0.597,853,0,1,0,0.35,0.04,87.8,0,0
118,T0022340,26091,50,F,US,tablet,Linux,gas,93.03,topup,9,3,0.72,34,74.96,39.78,2,0,0,0.234,0.447,2488,0,1,0,0.05,0.05,191.71,0,0
119,T0033613,21158,48,F,IN,desktop,Android,gas,42.12,purchase,6,1,6.06,26,95.54,39.69,1,0,0,0.97,0.614,2069,0,2,0,0.05,0.1,23.44,0,0
120,T0071877,28916,53,F,US,mobile,Android,financial,124.61,purchase,7,1,0.36,31,40.06,70.18,2,0,0,0.631,0.961,895,0,4,0,0.5,0.05,134.02,0,0
121,T0054590,8190,78,M,UK,mobile,Android,travel,17.6,purchase,13,6,7.31,34,17.23,69.79,2,0,1,0.778,0.078,1291,0,1,0,0.35,0.04,223.54,0,0
122,T0069268,22044,76,M,IN,mobile,Windows,groceries,117.58,topup,7,0,4.14,25,54.31,37.78,2,0,0,0.905,0.985,2769,0,4,0,0.05,0.1,24.96,0,1
123,T0043059,14911,43,F,FR,mobile,iOS,gas,192.41,purchase,18,1,3.16,31,99.02,55.73,2,1,0,0.312,0.381,2282,0,3,1,0.05,0.04,4.5,1,0
124,T0026137,29483,51,F,CA,mobile,iOS,gas,236.76,purchase,12,5,4.79,31,73.75,57.72,0,0,0,0.011,0.07,2799,0,2,1,0.05,0.03,122.39,0,1
125,T0086586,24797,69,F,US,mobile,Android,electronics,24.21,purchase,6,1,8.5,28,48.42,67.08,2,0,0,0.499,0.001,422,0,2,3,0.3,0.05,161.89,0,0
126,T0071546,18150,30,F,UK,mobile,Windows,electronics,82.86,purchase,8,0,5.01,38,53.8,67.56,1,0,2,0.313,0.361,638,0,2,1,0.3,0.04,137.02,0,0
127,T0031236,2749,29,M,CA,mobile,Windows,travel,43.66,purchase,21,4,4.22,30,110.84,19.13,0,0,0,0.141,0.834,2119,0,1,2,0.35,0.03,232.68,0,0
128,T0037679,22592,65,F,UK,desktop,Android,restaurants,2.85,purchase,9,0,2.35,33,84.35,50.82,0,0,1,0.955,0.396,136,0,1,2,0.12,0.04,24.84,0,1
129,T0060949,3069,27,F,US,mobile,iOS,restaurants,30.41,transfer,16,0,0.99,24,80.76,44.5,0,0,0,0.034,0.432,2904,0,1,1,0.12,0.05,170.97,0,0
130,T0002952,5694,73,M,UK,mobile,Android,travel,94.55,purchase,2,3,0.8,37,100.34,44.26,2,0,0,0.915,0.797,2790,0,2,3,0.35,0.04,109.96,0,1
131,T0078814,17363,50,F,ID,mobile,Windows,gas,27.71,purchase,11,4,3.17,26,57.11,18.68,0,0,0,0.883,0.59,512,0,2,2,0.05,0.12,86.57,0,0
132,T0000881,10161,62,M,CA,mobile,MacOS,groceries,18.79,topup,8,1,2.26,26,54.47,28.55,0,0,0,0.942,0.247,445,0,3,0,0.05,0.03,50.96,0,0
133,T0087930,29617,41,M,US,desktop,iOS,electronics,43.45,purchase,16,5,6.58,29,58.28,21.84,2,0,0,0.43,0.846,2338,0,1,1,0.3,0.05,337.57,0,0
134,T0081598,24181,64,M,CA,mobile,Android,groceries,46.51,withdrawal,18,0,1.29,31,48.36,47.22,0,0,0,0.777,0.85,1329,0,3,0,0.05,0.03,21.97,0,0
135,T0012919,28536,79,F,IN,mobile,Android,restaurants,48.89,purchase,9,1,2.64,30,13.41,9.55,1,0,0,0.89,0.247,2113,0,1,0,0.12,0.1,208.44,0,1
136,T0029887,5888,74,M,US,mobile,Android,electronics,84.18,purchase,22,5,2.46,27,46.99,45.21,2,0,0,0.315,0.26,1083,0,1,2,0.3,0.05,29.48,0,0
137,T0079002,21803,22,F,IN,tablet,Android,electronics,2.35,purchase,16,2,0.8,30,48.47,64.57,1,0,0,0.534,0.095,2543,0,4,0,0.3,0.1,247.95,0,0
138,T0065555,26221,45,F,ID,mobile,iOS,electronics,86.74,purchase,2,4,15.21,34,-5.61,69.13,1,0,0,0.742,0.438,1096,0,1,1,0.3,0.12,141.34,0,0
139,T0064378,3066,59,M,CA,mobile,Android,travel,89.0,purchase,9,3,0.36,37,26.03,16.13,1,0,1,0.632,0.484,1056,0,3,1,0.35,0.03,36.01,0,0
140,T0027745,25832,77,M,US,mobile,Windows,groceries,180.77,purchase,0,1,7.94,23,79.51,75.21,1,1,2,0.274,0.195,266,0,1,1,0.05,0.05,100.48,0,0
141,T0060919,24860,43,F,US,mobile,iOS,services,72.7,purchase,18,6,2.51,35,49.69,28.73,1,1,1,0.685,0.383,834,0,2,2,0.08,0.05,107.74,0,1
142,T0024190,20282,64,M,UK,mobile,Android,restaurants,342.51,transfer,11,6,4.28,29,84.2,47.28,2,0,0,0.382,0.943,2369,0,4,1,0.12,0.04,24.96,0,0
143,T0090503,20827,26,M,IN,mobile,Android,restaurants,194.56554419329655,purchase,20,1,0.12,27,46.37,38.14,12,13,0,0.872,0.448,478,0,1,2,0.12,0.1,372.1534612311812,0,0
144,T0027407,8444,62,M,UK,mobile,Android,electronics,47.96,topup,11,0,14.64,29,37.33,60.68,0,0,0,0.536,0.12,1634,0,4,1,0.3,0.04,219.64,0,1
145,T0002591,23172,66,M,US,mobile,Windows,restaurants,98.0,purchase,18,4,8.51,39,77.7,54.15,1,0,1,0.028,0.026,97,0,1,2,0.12,0.05,25.41,0,0
